"url","abstract","short_abstract","T5","BART","BART-CNN","abs"
"90_BC","Year 90 BC was a year of the pre-Julian Roman calendar. At the time it was known as the Year of the Consulship of Caesar and Lupus (or, less frequently, year 664 Ab urbe condita). The denomination 90 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","Year 90 BC was a year of the pre-Julian Roman calendar. At the time it was known as the Year of the Consulship of Caesar and Lupus (or, less frequently, year 664 Ab urbe condita) and the Third Year of Zhenghe. The denomination 90 BC for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.","year 90 BC was a year of the pre-julian roman calendar. the year was known as the Year of the Consulship of Caesar and Lupus. the denomination 90 BC for this year has been used since the early medieval period.","<s><s><s> Summary<s><s> summarize: Year 90 BC was a year of<s> Summa summariz<s><s><s> native<s><s> native<s><s> native native<s><s><s> native<s><s><s><s> native<s><s><s><s><s><s> native<s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>","<s><s><s> Summary<s><s> summarize: Year 90 BC was a year of<s> Summa summariz<s><s><s> native<s><s> native<s><s> native native<s><s><s> native<s><s><s><s> native<s><s><s><s><s><s> native<s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s> native<s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s><s>","The year 90 bc was a year of the pre-julian roman calendar. The denomination 90 bc for this year has been used since the early medieval period. The year was also known as the Year of the consulship of caesar and lupus (or 664 ab urbe condita)"
"Heinrich_Hertz","Heinrich Rudolf Hertz ([hɛɐʦ]; 22 February 1857 – 1 January 1894) was a German physicist who first conclusively proved the existence of electromagnetic waves theorized by James Clerk Maxwell's electromagnetic theory of light. Hertz proved the theory by engineering instruments to transmit and receive radio pulses using experimental procedures that ruled out all other known wireless phenomena. The scientific unit of frequency – cycle per second – was named the ""hertz"" in his honor.","Heinrich Rudolf Hertz (/hɜːrts/ HURTS; German: [ˈhaɪnʁɪç ˈhɛʁts]; 22 February 1857 – 1 January 1894) was a German physicist who first conclusively proved the existence of the electromagnetic waves predicted by James Clerk Maxwell's equations of electromagnetism. The unit of frequency, cycle per second, was named the \""hertz\"" in his honor.","Heinrich Rudolf hertz ([h<unk>]; 22 February 1857 – 1 January 1894) was a german physicist. hertz proved the existence of electromagnetic waves theorized by james clerk maxwell's electromagnetic theory of light. the scientific unit – cycle per second – was named the ""hertz"" in his honor.","Heinrich Rudolf Hertz ([hɛɐ<unk>]; 22 February 1857 – 1 January 1894) was a German physicist who first conclusively proved the existence of electromagnetic waves theorized by James Clerk Maxwell's electromagnetic theory of light. Hertz proved the theory by engineering instruments to transmit and receive radio pulses using experimental procedures that ruled out all other known wireless phenomena. The scientific unit of frequency – cycle per second – was named the ""hertz"" in his honor.","Heinrich Rudolf Hertz ([hɛɐ<unk>]; 22 February 1857 – 1 January 1894) was a German physicist who first conclusively proved the existence of electromagnetic waves theorized by James Clerk Maxwell's electromagnetic theory of light. Hertz proved the theory by engineering instruments to transmit and receive radio pulses using experimental procedures that ruled out all other known wireless phenomena. The scientific unit of frequency – cycle per second – was named the ""hertz"" in his honor.","Heinrich Hertz was a German physicist who first proved existence of electromagnetic waves in 1857. Hertz proved the theory by engineering instruments to transmit and receive radio pulses. The scientific unit of frequency – cycle per second – was named the ""hertz"" in his honor."
"Olof_Palme","Sven Olof Joachim Palme ( Swedish: Olof Palme; [ˈʊlɔf palˈmɛ]; 30 January 1927 – 28 February 1986) was a Swedish Social Democratic politician, statesman and prime minister. A longtime protégé of Prime Minister Tage Erlander, Palme led the Swedish Social Democratic Party SAP from 1969 until his assassination in 1986, and was a two-term Prime Minister of Sweden, heading a Privy Council Government from 1969 to 1976 and a cabinet government from 1982 until his death. Electoral defeats in 1976 and 1979 marked the end of Social Democratic hegemony in Swedish politics, which had seen 40 years of unbroken rule by the party. While leader of opposition, he parted domestic and international interests and served as special mediator of the United Nations in the Iran–Iraq War, but returned to power as Prime Minister after electoral victories in 1982 and 1985. A pivotal, renowned, and polarizing figure domestically as well as in international politics since the 1960s, Palme was steadfast in his non-alignment policy towards the superpowers, juxtaposed to support of numerous third world liberation movements following the process of decolonization including, most controversially, economic and vocal support for a number of Third World governments which were guilty of gross violations of human rights. Most famously, he was the first Western Head of Government to visit Cuba after its revolution, giving a speech in Santiago praising contemporary Cuban and Cambodian revolutionaries.Frequently a critic of US and Soviet foreign policy, he resorted to fierce and often polarizing criticism in pinpointing his resistance towards imperialist ambitions and authoritarian regimes, including those of Francisco Franco of Spain, António de Oliveira Salazar of Portugal, Gustáv Husák of Czechoslovakia, B J Vorster and P W Botha of South Africa. His 1972 condemnation of the Hanoi bombings, notably comparing the tactic to the Treblinka extermination camp, resulted in a temporary freeze in Sweden–United States relations. Palme's steadfast opposition to apartheid, which he labeled ""a particularly gruesome system"", gave rise to theories of South African involvement in his death, which were further fueled when Eugene de Kock claimed South African security forces had orchestrated his death. His murder by an unapprehended assailant on a street in Stockholm on 28 February 1986 was the first of its kind in modern Swedish history, the first of a national leader since Gustav III, and had a great impact across Scandinavia. Local convict and addict Christer Pettersson was convicted of the murder but was acquitted on appeal by the Svea Court of Appeal.","Sven Olof Joachim Palme (/ˈpɑːlmə/; Swedish: [ˈûːlɔf ˈpâlːmɛ]; 30 January 1927 – 28 February 1986) was a Swedish politician and statesman who served as Prime Minister of Sweden from 1969 to 1976 and 1982 to 1986. Palme led the Swedish Social Democratic Party from 1969 until his assassination in 1986.","sven olof palme was a long-time protégé of prime minister Tage erlander. he was a two-term prime minister of Sweden, heading a Privy Council Government from 1969 to 1976 and a cabinet government from 1982 until his death. a pivotal, polarizing figure domestically as well as in international politics since the 1960s.","Sven Olof Joachim Palme ( Swedish: Olof Palme; [ˈʊlɔf palˈmɛ]; 30 January 1927 – 28 February 1986) was a Swedish Social Democratic politician, statesman and prime minister. A longtime protégé of Prime Minister Tage Erlander, Palme led the Swedish Social Democratic Party SAP from 1969 until his assassination in 1986, and was a two-term Prime Minister of Sweden.","Sven Olof Joachim Palme ( Swedish: Olof Palme; [ˈʊlɔf palˈmɛ]; 30 January 1927 – 28 February 1986) was a Swedish Social Democratic politician, statesman and prime minister. A longtime protégé of Prime Minister Tage Erlander, Palme led the Swedish Social Democratic Party SAP from 1969 until his assassination in 1986, and was a two-term Prime Minister of Sweden.","Olof Palme was a Swedish social democratic politician, statesman and prime minister from 1969 until his assassination in 1986. palme was the first western head of government to visit cuba after its revolution, giving a speech in santiago praising contemporary cuban and cambodian revolutionaries."
"Seventh_Amendment_to_the_United_States_Constitution","The Seventh Amendment (Amendment VII) to the United States Constitution is part of the Bill of Rights. This amendment codifies the right to a jury trial in certain civil cases, and inhibits courts from overturning a jury's findings of fact.An early version of the Seventh Amendment was introduced in Congress in 1789 by James Madison, along with the other amendments, in response to Anti-Federalist objections to the new Constitution. Congress proposed a revised version of the Seventh Amendment to the states on September 28, 1789, and by December 15, 1791, the necessary three-quarters of the states had ratified it. Secretary of State Thomas Jefferson announced the adoption of the amendment on March 1, 1792.The Seventh Amendment is generally considered one of the more straightforward amendments of the Bill of Rights. While the Seventh Amendment's provision for jury trials in civil cases has never been incorporated (i.e., applied to the states) almost every state voluntarily complies with this requirement. The prohibition of overturning a jury's findings of fact applies to federal cases, state cases involving federal law, and to review of state cases by federal courts. United States v. Wonson (1812) established the ""historical test"", which interpreted the amendment as relying on English common law to determine whether a jury trial was necessary in a civil suit. The amendment thus does not guarantee trial by jury in cases under maritime law, in lawsuits against the government itself, and for many parts of patent claims. In all other cases, the jury can be waived by consent of the parties.The amendment additionally guarantees a minimum of six members for a jury in a civil trial. The amendment's twenty dollar threshold has not been the subject of much scholarly or judicial writing; that threshold remains applicable despite the inflation that has occurred since the 18th century.","The Seventh Amendment (Amendment VII) to the United States Constitution is part of the Bill of Rights. This amendment codifies the right to a jury trial in certain civil cases and inhibits courts from overturning a jury's findings of fact.","the Seventh amendment codifies the right to a jury trial in certain civil cases. it prohibits courts from overturning a jury's findings of fact. almost every state voluntarily complies with this requirement.","The Seventh Amendment (Amendment VII) to the United States Constitution is part of the Bill of Rights. This amendment codifies the right to a jury trial in certain civil cases, and inhibits courts from overturning a jury's findings of fact.An early version of the Seventh Amendment","The Seventh Amendment (Amendment VII) to the United States Constitution is part of the Bill of Rights. This amendment codifies the right to a jury trial in certain civil cases, and inhibits courts from overturning a jury's findings of fact.An early version of the Seventh Amendment","The seventh amendment to the United States constitution is one of the more straightforward amendments of the bill of rights. The amendment does not guarantee trial by jury in cases under maritime law, in lawsuits against the government itself, and for many parts of patent claims. The prohibition of overturning a jury's findings of fact applies to federal cases."
"Red-eye_effect","The red-eye effect in photography is the common appearance of red pupils in color photographs of eyes. It occurs when using a photographic flash very close to the camera lens (as with most compact cameras), in ambient low light. The effect appears in the eyes of humans, and of animals that have tapetum lucidum. Theatrical followspot operators, positioned nearly coincidentally with a very bright light and somewhat distant from the actors, occasionally witness red-eye in actors on stage. The effect is not visible to the rest of the audience because it is reliant on the very small angle between the followspot operator and the light.","The red-eye effect in photography is the common appearance of red pupils in color photographs of the eyes of humans and several other animals. It occurs when using a photographic flash that is very close to the camera lens (as with most compact cameras) in ambient low light.","the red-eye effect in photography is the common appearance of red pupils in color photographs of eyes. the effect occurs when using a photographic flash very close to the camera lens, in ambient low light. theatrical followspot operators, positioned nearly coincidentally with a very bright light and somewhat distant from the actors, occasionally witness red-eye in actors on stage.","The red-eye effect in photography is the common appearance of red pupils in color photographs of eyes.","The red-eye effect in photography is the common appearance of red pupils in color photographs of eyes.","Red-eye effect is the common appearance of red pupils in color photographs of eyes. The Red-eye Effect occurs when using a photographic flash very close to the camera lens. The effect appears in the eyes of humans and of animals that have tapetum lucidum. theatrical followspot operators sometimes witness red-eye in actors."
"Space_Quest","Space Quest is a series of six comedic science fiction computer adventure games released between 1986 and 1995. The games follow the adventures of a hapless janitor named Roger Wilco as he campaigns through the galaxy for ""truth, justice and really clean floors"". Initially created for Sierra On-Line by Mark Crowe and Scott Murphy (who called themselves the ""Two Guys from Andromeda""), the games parodied both science fiction properties such as Star Wars and Star Trek (the theme song itself is a parody of the Star Wars theme), as well as pop-culture phenomena from McDonald's to Microsoft. The series featured a silly sense of humor heavily reliant on puns and wacky storylines. Roger Wilco, a perpetual loser, is often depicted as the underdog who repeatedly saves the universe (often by accident) – only to be either ignored or punished for violating minor regulations in the process.","Space Quest is a series of six comic science fiction adventure games released between 1986 and 1995. The games follow the adventures of a hapless janitor named Roger Wilco as he campaigns through the galaxy for \""truth, justice and really clean floors\"".","space quest is a series of six comedic science fiction computer adventure games. the games follow the adventures of a hapless janitor named Roger Wilco. the games parodied both science fiction properties such as star wars and star trek.","Space Quest is a series of six comedic science fiction computer adventure games released between 1986 and 1995. The games follow the adventures of a hapless janitor named Roger Wilco as he campaigns through the galaxy for ""truth, justice and really clean floors"". Initially created for Sierra On-Line by Mark Crowe and Scott Murphy (who called themselves the ""Two Guys from Andromeda""), the games parodied both science fiction properties such as Star Wars and Star Trek (the theme song itself is a parody of the Star Wars theme), as well as pop-culture phenomena from McDonald's to Microsoft.","Space Quest is a series of six comedic science fiction computer adventure games released between 1986 and 1995. The games follow the adventures of a hapless janitor named Roger Wilco as he campaigns through the galaxy for ""truth, justice and really clean floors"". Initially created for Sierra On-Line by Mark Crowe and Scott Murphy (who called themselves the ""Two Guys from Andromeda""), the games parodied both science fiction properties such as Star Wars and Star Trek (the theme song itself is a parody of the Star Wars theme), as well as pop-culture phenomena from McDonald's to Microsoft.","Space Quest is a series of six comedic computer adventure games released between 1986 and 1995. the games follow the adventures of a hapless janitor named roger wilco as he campaigns through the galaxy for ""truth, justice and really clean floors"" The games parodied both science fiction properties such as star wars and star trek, and pop-culture phenomena from mcdonald's to microsoft."
"Ship_commissioning","Ship commissioning is the act or ceremony of placing a ship in active service, and may be regarded as a particular application of the general concepts and practices of project commissioning. The term is most commonly applied to the placing of a warship in active duty with its country's military forces. The ceremonies involved are often rooted in centuries old naval tradition. Ship naming and launching endow a ship hull with her identity, but many milestones remain before she is completed and considered ready to be designated a commissioned ship. The engineering plant, weapon and electronic systems, galley, and multitudinous other equipment required to transform the new hull into an operating and habitable warship are installed and tested. The prospective commanding officer, ship's officers, the petty officers, and seamen who will form the crew report for training and intensive familiarization with their new ship. Prior to commissioning, the new ship undergoes sea trials to identify any deficiencies needing correction. The preparation and readiness time between christening-launching and commissioning may be as much as three years for a nuclear powered aircraft carrier to as brief as twenty days for a World War II landing ship. The USS Monitor, of American Civil War fame, was commissioned less than three weeks after launch.","Ship commissioning is the act or ceremony of placing a ship in active service and may be regarded as a particular application of the general concepts and practices of project commissioning. The term is most commonly applied to placing a warship in active duty with its country's military forces. The ceremonies involved are often rooted in centuries-old naval tradition.","ship commissioning is the placing of a warship in active duty with its country's military forces. ship naming and launching endow a ship hull with her identity, but many milestones remain before she is designated a commissioned ship. the new ship undergoes sea trials to identify any deficiencies needing correction.","Ship commissioning is the act or ceremony of placing a ship in active service, and may be regarded as a particular application of the general concepts and practices of project commissioning.","Ship commissioning is the act or ceremony of placing a ship in active service, and may be regarded as a particular application of the general concepts and practices of project commissioning.","Ship commissioning is the act or ceremony of placing a ship in active service. Ship commissioning may be regarded as a particular application of the general concepts and practices of project commissioning. The term is most commonly applied to the placing of a warship in active duty with its country's military forces."
"Swamp","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation. The two main types of swamp are ""true"" or swamp forests and ""transitional"" or shrub swamps. In the boreal regions of Canada, the word swamp is colloquially used for what is more correctly termed a bog or muskeg. The water of a swamp may be fresh water, brackish water or seawater. Some of the world's largest swamps are found along major rivers such as the Amazon, the Mississippi, and the Congo.","A swamp is a forested wetland. Swamps are considered to be transition zones because both land and water play a role in creating this environment. Swamps vary in size and are located all around the world. The water of a swamp may be fresh water, brackish water, or seawater. Freshwater swamps form along large rivers or lakes where they are critically dependent upon rainwater and seasonal flooding to maintain natural water level fluctuations. Saltwater swamps are found along tropical and subtropical coastlines. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation or soil saturation. The two main types of swamp are \""true\"" or swamp forests and \""transitional\"" or shrub swamps. In the boreal regions of Canada, the word ","many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. the water of a swamp may be fresh water, brackish water or sea water. some of the world's largest swamps are found along major rivers such as the amazon, the Mississippi, and the Congo.","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation.","A swamp is a wetland that is forested. Many swamps occur along large rivers where they are critically dependent upon natural water level fluctuations. Other swamps occur on the shores of large lakes. Some swamps have hammocks, or dry-land protrusions, covered by aquatic vegetation, or vegetation that tolerates periodic inundation.","A swamp is a wetland that is forested. Swamps may be fresh water, brackish water or seawater. The two main types of swamp are ""true"" or swamp forests and ""transitional"" or shrub swamps. The word swamp is colloquially used for what is more correctly termed a bog or muskeg."
"November_30","November 30 is the 334th day of the year (335th in leap years) in the Gregorian calendar. There are 31 days remaining until the end of the year.","November 30 is the 334th day of the year (335th in leap years) in the Gregorian calendar; 31 days remain until the end of the year.","November 30 is the 334th day of the year (335th in leap years) in the Gregorian calendar. there are 31 days remaining until the end of the year.","November 30 is the 334th day of the year (335th in leap years) in the Gregorian calendar.","November 30 is the 334th day of the year (335th in leap years) in the Gregorian calendar.","November 30 is the 334th day of the year (335th in leap years) in the gregorian calendar. There are 31 days remaining until the end of Nov. 30, 2014. November 30 is also the last day of November in the Gregorian Calendar."
"Badalona","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina mountain range. Badalona is the third most-populated municipality in Catalonia after Barcelona and L'Hospitalet de Llobregat. It became a city in 1897. The city is currently governed by the Partido Popular.","Badalona (/ˌbædəˈloʊnə/, US also /ˌbɑːd-/, Catalan: [bəðəˈlonə], Spanish: [baðaˈlona]) is a municipality to the immediate north east of Barcelona in Catalonia, Spain. It is located on the left bank of the Besòs River and on the Mediterranean Sea, in the Barcelona metropolitan area. By population, it is the third largest city in Catalonia and the twenty-third in Spain. It became a city in 1897.","Badalona is the third most-populated municipality in catalonia after Barcelona and L'Hospitalet de llobregat. it is located in the comarca of the barcelonès, joined to Barcelona and part of its metropolitan area. the city is currently governed by the Partido Popular.","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina.","Badalona ([bəðəˈɫonə]) is a city in eastern Catalonia, Spain. It is located in the comarca of the Barcelonès, joined to Barcelona and part of its metropolitan area. It is situated on the left bank of the small Besòs River and on the Mediterranean Sea, backed by the Serra de la Marina.","Badalona is the third most-populated municipality in catalonia after barcelona and l'hospitalet de llobregat. It is located on the left bank of the small besùs river and on the mediterranean sea. Badalona became a city in 1897."
