question,ground_truth,source_page,passage_chars,label_source,labeler_models
What method shall be used to carry out buckling strength analyses of fuel tanks subject to external pressure and other loads causing compressive stresses?,"According to MSC 95/22/Add.1, buckling strength analyses of fuel tanks subject to external pressure and other loads causing compressive stresses shall be carried out in accordance with recognized standards, adequately accounting for plate imperfections such as out-of-flatness, edge misalignment, and deviation from true circular form.",101,965,step6b_synthetic_local,llama3.1:8b
What is the minimum value of fCN to be used in case the fuel tank arrangement is unsymmetrical about the centreline of the ship?,"In case the fuel tank arrangement is unsymmetrical about the centreline of the ship, the calculations of fCN should be performed on both starboard and port sides, and the average value should be used for the assessment.",16,946,step6b_synthetic_local,llama3.1:8b
What is the page number where regulations for gas fuel supply to consumers in ESD-protected machinery spaces are located?,"The regulations for gas fuel supply to consumers in ESD-protected machinery spaces are located on page 79, as indicated by the ellipsis leading up to page number 78.",2,378,step6b_synthetic_local,llama3.1:8b
What is the minimum design pressure that must be applied during a pressure test of a type expansion joint?,The minimum design pressure that must be applied during a pressure test of a type expansion joint is twice the design pressure at the extreme displacement conditions recommended by the manufacturer.,116,961,step6b_synthetic_local,llama3.1:8b
What is the maximum design vapour pressure (P0) for Type B independent tanks primarily constructed of plane surfaces?,The maximum design vapour pressure (P0) for Type B independent tanks primarily constructed of plane surfaces is less than 0.07 MPa.,43,994,step6b_synthetic_local,llama3.1:8b
"What is the minimum design temperature that a longitudinal bulkhead between liquefied gas fuel tanks must remain suitable for, in order to take credit for heating?","For a longitudinal bulkhead between liquefied gas fuel tanks, credit may be taken for heating if the material remains suitable for a minimum design temperature of minus 30°C, or a temperature 30°C lower than that determined by considering heating, whichever is less.",39,933,step6b_synthetic_local,llama3.1:8b
What are the six types of total stress values that shall be determined for equivalent stress calculation?,"The six types of total stress values that shall be determined for equivalent stress calculation are: total normal stress in x-direction (σx), total normal stress in y-direction (σy), total normal stress in z-direction (σz), total shear stress in x-y plane (τxy), total shear stress in x-z plane (τxz), and total shear stress in y-z plane (τyz).",35,990,step6b_synthetic_local,llama3.1:8b
"What potential dangers to the ship, persons on board, or environment should be avoided when designing the fuel containment system?","When designing the fuel containment system, potential dangers to avoid include exposure of ship materials to temperatures below acceptable limits, flammable fuels spreading to locations with ignition sources, toxicity potential and risk of oxygen deficiency due to fuels and inert gases, restriction of access to muster stations, escape routes, and life-saving appliances, and reduction in availability of these appliances.",20,926,step6b_synthetic_local,llama3.1:8b
What percentage of butt-welded joints of pipes must be subjected to radiographic or ultrasonic inspection?,At least 10% of butt-welded joints of pipes must be subjected to radiographic or ultrasonic inspection.,115,787,step6b_synthetic_local,llama3.1:8b
What is the minimum distance that the lowermost boundary of the fuel tank(s) must be located above?,"The minimum distance that the lowermost boundary of the fuel tank(s) must be located above is 2.0 m or B/15, whichever is less.",14,504,step6b_synthetic_local,llama3.1:8b
What is the minimum distance from the surface of a material to the edge of a Charpy V-notch specimen in a weld test?,The minimum distance from the surface of a material to the edge of a Charpy V-notch specimen in a weld test is approximately 1 mm or greater.,107,939,step6b_synthetic_local,llama3.1:8b
What types of instrumentation and electrical apparatus should be installed in areas described in point 23?,"Instrumentation and electrical apparatus installed in the areas described in point 23 should be of a type suitable for zone 1. These areas include spaces within 3m of fuel tank hatches, ullage openings, or sounding pipes for fuel tanks located on open deck and gas vapor outlets.",85,441,step6b_synthetic_local,llama3.1:8b
What situations require a risk assessment for ships to which part A-1 applies?,"A risk assessment for ships to which part A-1 applies is required in situations explicitly stated in paragraphs 5.10.5, 5.12.3, 6.4.1.1, 6.4.15.4.7.2, 8.3.1.1, 13.4.1, 13.7 and 15.8.1.10 as well as by paragraphs 4.4 and 6.8 of the annex, in addition to any other situations specified elsewhere.",11,275,step6b_synthetic_local,llama3.1:8b
What is the purpose of an additional sensor operating independently of the high liquid level alarm?,The additional sensor operating independently of the high liquid level alarm automatically actuates a shutoff valve to prevent excessive liquid pressure and overfilling of the liquefied gas fuel tank.,92,988,step6b_synthetic_local,llama3.1:8b
What types of flanges can be used for piping when design temperatures are colder than minus 55°C?,"For piping design temperatures colder than minus 55°C, only welded neck flanges can be used. This restriction applies to all piping except open-ended lines.",68,995,step6b_synthetic_local,llama3.1:8b
What is the goal of ventilation as stated in section 13.1?,"The goal of ventilation, as stated in section 13.1, is to provide a safe and healthy working environment by removing or diluting hazardous substances from the air. This is achieved through proper design and installation of ventilation systems, ensuring that they operate effectively and efficiently to prevent the accumulation of flammable or toxic gases.",3,961,step6b_synthetic_local,llama3.1:8b
What is the goal of explosion prevention as stated in this document?,"The goal of explosion prevention, as stated in this document, is to prevent explosions from occurring in the first place. This is explicitly mentioned in section 12.1 of the document, which outlines the purpose and objectives of explosion prevention measures.",3,912,step6b_synthetic_local,llama3.1:8b
What is the goal of Chapter 5 regarding ship design and arrangement?,"The goal of Chapter 5 is to provide safe location, space arrangements, and mechanical protection of power generation equipment, fuel storage systems, fuel supply equipment, and refuelling systems. This chapter aims to ensure the secure placement and operation of these critical ship components.",13,941,step6b_synthetic_local,llama3.1:8b
What types of stresses are to be determined separately from acceleration components and hull strain components?,"Static stresses (x.st, y.st, z.st, xy.st, xz.st, and yz.st) and dynamic stresses (x.dyn, y.dyn, z.dyn, xy.dyn, xz.dyn, and yz.dyn) are to be determined separately from acceleration components and hull strain components.",34,952,step6b_synthetic_local,llama3.1:8b
What is the minimum predicted remaining failure development time for a critical state when leakage detection occurs?,The predicted remaining failure development time from the point of detection of leakage till reaching a critical state shall not be less than 15 days unless different regulations apply for ships engaged in particular voyages.,37,967,step6b_synthetic_local,llama3.1:8b
